LineId,Date,Time,Pid,Level,Component,Content,EventId,EventTemplate,ParameterList
1,29-03-2023,01:22:14.295,[main],INFO,com.bank.management.ElkApplication.logStarting ,Starting ElkApplication v0.0.1-SNAPSHOT using Java 11.0.18 on ip-172-31-3-241 with PID 14806 (/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/target/ElkApplication-0.0.1-SNAPSHOT.jar started by ubuntu in /home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK)\,b2c05d68,Starting ElkApplication v0.<*>.<*>-SNAPSHOT using Java <*>.<*>.<*> on ip-<*>-<*>-<*>-<*> with PID <*> (/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/target/ElkApplication-<*>.<*>.<*>-SNAPSHOT.jar started by ubuntu in /home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK)\,"['0.1', '11', '0.18', '172', '31-3-241', '14806', '0', '0.1']"
2,29-03-2023,01:22:14.454,[main],INFO,com.bank.management.ElkApplication.logStartupProfileInfo ,"No active profile set, falling back to default profiles: default\",0d0355b4,"No active profile set, falling back to default profiles: default\",[]
3,29-03-2023,01:22:35.563,[main],INFO,o.s.b.w.e.tomcat.TomcatWebServer.initialize ,Tomcat initialized with port(s): 8080 (http)\,3535c482,Tomcat initialized with port(s): <*> (http)\,['8080']
4,29-03-2023,01:22:35.746,[main],INFO,o.a.coyote.http11.Http11NioProtocol.log ,"Initializing ProtocolHandler [""http-nio-8080""]\",a0c3ac0e,"Initializing ProtocolHandler [""http-nio-<*>""]\",['8080']
5,29-03-2023,01:22:35.748,[main],INFO,o.a.catalina.core.StandardService.log ,Starting service [Tomcat]\,cadfeb81,Starting service [Tomcat]\,[]
6,29-03-2023,01:22:35.748,[main],INFO,o.a.catalina.core.StandardEngine.log ,Starting Servlet engine: [Apache Tomcat/9.0.50]\,aa6199ad,Starting Servlet engine: [Apache Tomcat/<*>.<*>.<*>]\,"['9', '0.50']"
7,29-03-2023,01:22:36.545,[main],INFO,o.a.c.c.C.[Tomcat].[localhost].[/].log ,Initializing Spring embedded WebApplicationContext\,096b6230,Initializing Spring <*> <*>,['embedded WebApplicationContext\\']
8,29-03-2023,01:22:36.546,[main],INFO,o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext ,Root WebApplicationContext: initialization completed in 21009 ms\,dd61c1b1,Root WebApplicationContext: initialization completed in <*> ms\,['21009']
9,29-03-2023,01:22:45.086,[main],INFO,o.a.coyote.http11.Http11NioProtocol.log ,"Starting ProtocolHandler [""http-nio-8080""]\",90ef8ad5,"Starting ProtocolHandler [""http-nio-<*>""]\",['8080']
10,29-03-2023,01:22:45.413,[main],INFO,o.s.b.w.e.tomcat.TomcatWebServer.start ,Tomcat started on port(s): 8080 (http) with context path ''\,435c264d,Tomcat started on port(s): <*> (http) with context path ''\,['8080']
11,29-03-2023,01:22:45.583,[main],INFO,com.bank.management.ElkApplication.logStarted ,Started ElkApplication in 42.897 seconds (JVM running for 50.642)\,7219f0e4,Started ElkApplication in <*>.<*> seconds (JVM running for <*>.<*>)\,"['42.897', '50.642']"
12,29-03-2023,01:22:49.580,[http-nio-8080-exec-1],INFO,o.a.c.c.C.[Tomcat].[localhost].[/].log ,Initializing Spring DispatcherServlet 'dispatcherServlet'\,096b6230,Initializing Spring <*> <*>,"[""DispatcherServlet 'dispatcherServlet'\\""]"
13,29-03-2023,01:22:49.581,[http-nio-8080-exec-1],INFO,o.s.web.servlet.DispatcherServlet.initServletBean ,Initializing Servlet 'dispatcherServlet'\,ac635d15,Initializing Servlet 'dispatcherServlet'\,[]
14,29-03-2023,01:22:49.582,[http-nio-8080-exec-1],INFO,o.s.web.servlet.DispatcherServlet.initServletBean ,Completed initialization in 1 ms\,ef348ae9,Completed initialization in <*> ms\,['1']
15,29-03-2023,01:22:49.932,[http-nio-8080-exec-1],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
16,29-03-2023,01:22:50.011,[http-nio-8080-exec-1],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
17,29-03-2023,01:22:53.013,[http-nio-8080-exec-3],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
18,29-03-2023,01:22:53.014,[http-nio-8080-exec-3],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
19,29-03-2023,01:24:34.669,[http-nio-8080-exec-8],INFO,c.b.management.services.UserService.getCardById ,Fetching card details for card id...\,d4260df9,Fetching <*> details for <*> id...\,"['card', 'card']"
20,29-03-2023,01:24:35.363,[http-nio-8080-exec-8],INFO,c.b.management.services.UserService.getCardById ,Card details found: com.bank.management.domain.Card@5248f17\,e9469db0,Card details found: <*>,['com.bank.management.domain.Card@5248f17\\']
21,29-03-2023,01:24:43.727,[http-nio-8080-exec-9],INFO,c.b.management.services.UserService.getCardById ,Fetching card details for card id...\,d4260df9,Fetching <*> details for <*> id...\,"['card', 'card']"
22,29-03-2023,01:24:43.765,[http-nio-8080-exec-9],INFO,c.b.management.services.UserService.getCardById ,Card details found: com.bank.management.domain.Card@5ac51f1f\,e9469db0,Card details found: <*>,['com.bank.management.domain.Card@5ac51f1f\\']
23,29-03-2023,01:24:47.651,[http-nio-8080-exec-10],INFO,c.b.management.services.UserService.getCardById ,Fetching card details for card id...\,d4260df9,Fetching <*> details for <*> id...\,"['card', 'card']"
24,29-03-2023,01:24:47.653,[http-nio-8080-exec-10],INFO,c.b.management.services.UserService.getCardById ,Card details found: com.bank.management.domain.Card@25f70b09\,e9469db0,Card details found: <*>,['com.bank.management.domain.Card@25f70b09\\']
25,29-03-2023,01:24:51.044,[http-nio-8080-exec-1],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
26,29-03-2023,01:24:51.044,[http-nio-8080-exec-1],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
27,29-03-2023,01:25:14.541,[http-nio-8080-exec-3],INFO,c.b.management.services.UserService.getAllUsers ,Fetching ALL user details...\,e84b414a,Fetching ALL <*> details...\,['user']
28,29-03-2023,01:25:18.016,[http-nio-8080-exec-2],INFO,c.b.management.services.UserService.getUserById ,Fetching user details for user id...\,d4260df9,Fetching <*> details for <*> id...\,"['user', 'user']"
29,29-03-2023,01:25:18.019,[http-nio-8080-exec-2],INFO,c.b.management.services.UserService.getUserById ,User found: com.bank.management.domain.User@7930afde\,4ca50db4,User found: <*>,['com.bank.management.domain.User@7930afde\\']
30,29-03-2023,01:25:21.811,[http-nio-8080-exec-5],INFO,c.b.management.services.UserService.getUserById ,Fetching user details for user id...\,d4260df9,Fetching <*> details for <*> id...\,"['user', 'user']"
31,29-03-2023,01:25:21.814,[http-nio-8080-exec-5],INFO,c.b.management.services.UserService.getUserById ,User found: com.bank.management.domain.User@51bdbc02\,4ca50db4,User found: <*>,['com.bank.management.domain.User@51bdbc02\\']
32,29-03-2023,01:25:26.490,[http-nio-8080-exec-4],INFO,c.b.management.services.UserService.getUserById ,Fetching user details for user id...\,d4260df9,Fetching <*> details for <*> id...\,"['user', 'user']"
33,29-03-2023,01:25:26.491,[http-nio-8080-exec-4],INFO,c.b.management.services.UserService.getUserById ,User found: com.bank.management.domain.User@16ab66f1\,4ca50db4,User found: <*>,['com.bank.management.domain.User@16ab66f1\\']
34,29-03-2023,01:25:32.447,[http-nio-8080-exec-6],INFO,c.b.management.services.UserService.getCardById ,Fetching card details for card id...\,d4260df9,Fetching <*> details for <*> id...\,"['card', 'card']"
35,29-03-2023,01:25:32.449,[http-nio-8080-exec-6],INFO,c.b.management.services.UserService.getCardById ,Card details found: com.bank.management.domain.Card@390a47d9\,e9469db0,Card details found: <*>,['com.bank.management.domain.Card@390a47d9\\']
36,29-03-2023,01:25:38.926,[http-nio-8080-exec-7],INFO,c.b.management.services.UserService.getAllUsers ,Fetching ALL user details...\,e84b414a,Fetching ALL <*> details...\,['user']
37,29-03-2023,01:25:56.777,[http-nio-8080-exec-8],INFO,c.b.m.services.PaymentService.getAllPayments ,Fetching ALL payment details...\,e84b414a,Fetching ALL <*> details...\,['payment']
38,29-03-2023,01:26:02.326,[http-nio-8080-exec-9],INFO,c.b.m.services.PaymentService.getPaymentById ,Fetching payment details by id...\,a97f8d99,Fetching payment details by id...\,[]
39,29-03-2023,01:26:02.346,[http-nio-8080-exec-9],INFO,c.b.m.services.PaymentService.getPaymentById ,Payment details found: com.bank.management.domain.Payment@24e035d8\,c4a0945f,Payment details found: <*>,['com.bank.management.domain.Payment@24e035d8\\']
40,29-03-2023,01:26:05.548,[http-nio-8080-exec-10],INFO,c.b.m.services.PaymentService.getPaymentById ,Fetching payment details by id...\,a97f8d99,Fetching payment details by id...\,[]
41,29-03-2023,01:26:05.584,[http-nio-8080-exec-10],INFO,c.b.m.services.PaymentService.getPaymentById ,Payment details found: com.bank.management.domain.Payment@2b30f1c7\,c4a0945f,Payment details found: <*>,['com.bank.management.domain.Payment@2b30f1c7\\']
42,29-03-2023,01:26:08.492,[http-nio-8080-exec-1],INFO,c.b.m.services.PaymentService.getAllPayments ,Fetching ALL payment details...\,e84b414a,Fetching ALL <*> details...\,['payment']
43,29-03-2023,01:26:23.667,[http-nio-8080-exec-3],INFO,c.b.management.services.UserService.getCardById ,Fetching card details for card id...\,d4260df9,Fetching <*> details for <*> id...\,"['card', 'card']"
44,29-03-2023,01:26:23.668,[http-nio-8080-exec-3],INFO,c.b.management.services.UserService.getCardById ,Card details found: com.bank.management.domain.Card@43f949fa\,e9469db0,Card details found: <*>,['com.bank.management.domain.Card@43f949fa\\']
45,29-03-2023,01:26:30.378,[http-nio-8080-exec-2],INFO,c.b.m.services.PaymentService.getPaymentById ,Fetching payment details by id...\,a97f8d99,Fetching payment details by id...\,[]
46,29-03-2023,01:26:30.379,[http-nio-8080-exec-2],INFO,c.b.m.services.PaymentService.getPaymentById ,Payment details found: com.bank.management.domain.Payment@77f75e88\,c4a0945f,Payment details found: <*>,['com.bank.management.domain.Payment@77f75e88\\']
47,29-03-2023,01:27:31.016,[http-nio-8080-exec-4],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
48,29-03-2023,01:27:31.016,[http-nio-8080-exec-4],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
49,29-03-2023,01:27:31.742,[http-nio-8080-exec-6],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
50,29-03-2023,01:27:31.742,[http-nio-8080-exec-6],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
51,29-03-2023,01:27:31.916,[http-nio-8080-exec-7],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
52,29-03-2023,01:27:31.917,[http-nio-8080-exec-7],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
53,29-03-2023,01:27:32.131,[http-nio-8080-exec-8],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
54,29-03-2023,01:27:32.131,[http-nio-8080-exec-8],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
55,29-03-2023,01:27:32.285,[http-nio-8080-exec-9],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
56,29-03-2023,01:27:32.285,[http-nio-8080-exec-9],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
57,29-03-2023,01:27:32.443,[http-nio-8080-exec-10],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
58,29-03-2023,01:27:32.444,[http-nio-8080-exec-10],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
59,29-03-2023,01:27:32.587,[http-nio-8080-exec-1],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
60,29-03-2023,01:27:32.588,[http-nio-8080-exec-1],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
61,29-03-2023,01:27:32.768,[http-nio-8080-exec-3],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
62,29-03-2023,01:27:32.768,[http-nio-8080-exec-3],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
63,29-03-2023,01:27:32.954,[http-nio-8080-exec-2],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
64,29-03-2023,01:27:32.955,[http-nio-8080-exec-2],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
65,29-03-2023,01:27:50.086,[http-nio-8080-exec-5],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
66,29-03-2023,01:27:50.086,[http-nio-8080-exec-5],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
67,29-03-2023,01:27:50.256,[http-nio-8080-exec-4],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
68,29-03-2023,01:27:50.257,[http-nio-8080-exec-4],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
69,29-03-2023,01:27:50.442,[http-nio-8080-exec-6],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
70,29-03-2023,01:27:50.462,[http-nio-8080-exec-6],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
71,29-03-2023,01:27:50.617,[http-nio-8080-exec-7],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
72,29-03-2023,01:27:50.618,[http-nio-8080-exec-7],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
73,29-03-2023,01:27:50.812,[http-nio-8080-exec-8],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
74,29-03-2023,01:27:50.812,[http-nio-8080-exec-8],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
75,29-03-2023,01:28:00.094,[http-nio-8080-exec-9],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
